time,close,EMA,EMA,EMA,Volume
1973-01-31,1357300000000,NaN,1220011096092.7214,NaN,NaN
1973-02-28,1397800000000,NaN,1255568876874.1772,NaN,NaN
1973-03-31,1437800000000,NaN,1292015101499.3418,NaN,NaN
1973-04-30,1487900000000,NaN,1331192081199.4734,NaN,NaN
1973-05-31,1505400000000,NaN,1366033664959.5786,NaN,NaN
1973-06-30,1531700000000,NaN,1399166931967.6628,NaN,NaN
1973-07-31,1576600000000,NaN,1434653545574.1304,NaN,NaN
1973-08-31,1594200000000,NaN,1466562836459.3042,NaN,NaN
1973-09-30,1637400000000,NaN,1500730269167.4434,NaN,NaN
1973-10-31,1702700000000,NaN,1541124215333.9546,NaN,NaN
1973-11-30,1736400000000,NaN,1580179372267.1636,NaN,NaN
1973-12-31,1748600000000,NaN,1613863497813.731,NaN,NaN
1974-01-31,1778400000000,NaN,1646770798250.9849,NaN,NaN
1974-02-28,1811000000000,1086818000000,1679616638600.7878,NaN,NaN
1974-03-31,1821900000000,1115644745098.0393,1708073310880.6304,NaN,NaN
1974-04-30,1845400000000,1144262598231.4495,1735538648704.5044,NaN,NaN
1974-05-31,1871500000000,1172781712026.2947,1762730918963.6035,NaN,NaN
1974-06-30,1882200000000,1200602037044.8713,1786624735170.8828,NaN,NaN
1974-07-31,1923000000000,1228931368925.4646,1813899788136.7063,NaN,NaN
1974-08-31,1965900000000,1257832099555.8386,1844299830509.365,NaN,NaN
1974-09-30,2001400000000,1286991625063.453,1875719864407.492,NaN,NaN
1974-10-31,1989200000000,1314529208394.2979,1898415891525.9937,NaN,NaN
1974-11-30,2041200000000,1343026102182.7568,1926972713220.795,NaN,NaN
1974-12-31,2114500000000,1373279980528.531,1964478170576.636,NaN,NaN
1975-01-31,2166500000000,1404386647958.7847,2004882536461.3088,NaN,NaN
1975-02-28,2224900000000,1436563642156.4795,2048886029169.047,NaN,NaN
1975-03-31,2267200000000,1469137616973.8726,2092548823335.2378,NaN,NaN
1975-04-30,2296400000000,1501579279053.3286,2133319058668.1902,NaN,NaN
1975-05-31,2327400000000,1533964405364.963,2172135246934.5522,NaN,NaN
1975-06-30,2456000000000,1570122663978.1016,2228908197547.6416,NaN,NaN
1975-07-31,2480200000000,1605811971273.078,2279166558038.1133,NaN,NaN
1975-08-31,2522300000000,1641752678281.9768,2327793246430.4907,NaN,NaN
1975-09-30,2625500000000,1680331004623.86,2387334597144.3926,NaN,NaN
1975-10-31,2540200000000,1714051357383.7087,2417907677715.514,NaN,NaN
1975-11-30,2586000000000,1748245421800.034,2451526142172.411,NaN,NaN
1975-12-31,2643300000000,1783345601337.2876,2489880913737.9287,NaN,NaN
1976-01-31,2554800000000,1813598715010.3352,2502864730990.343,NaN,NaN
1976-02-29,2648800000000,1846351706578.5574,2532051784792.2744,NaN,NaN
1976-03-31,2840400000000,1885333992595.0845,2593721427833.8193,NaN,NaN
1976-04-30,2895400000000,1924944424258.0225,2654057142267.0557,NaN,NaN
1976-05-31,2961800000000,1965605427228.2961,2715605713813.6445,NaN,NaN
1976-06-30,2958800000000,2004554234003.657,2764244571050.9155,NaN,NaN
1976-07-31,3086900000000,2046999166003.5137,2828775656840.7324,NaN,NaN
1976-08-31,3184900000000,2091622728121.023,2900000525472.586,NaN,NaN
1976-09-30,3239200000000,2136625758390.7869,2967840420378.069,NaN,NaN
1976-10-31,3177500000000,2177444356100.9521,3009772336302.455,NaN,NaN
1976-11-30,3239700000000,2219101440175.425,3055757869041.964,NaN,NaN
1976-12-31,3558000000000,2271607266050.8984,3156206295233.5713,NaN,NaN
1977-01-31,3598300000000,2323634432088.118,3244625036186.857,NaN,NaN
1977-02-28,3670700000000,2376460532790.545,3329840028949.4854,NaN,NaN
1977-03-31,3821800000000,2433140511896.798,3428232023159.5884,NaN,NaN
1977-04-30,3912300000000,2491146766332.218,3525045618527.671,NaN,NaN
1977-05-31,4082900000000,2553568461770.17,3636616494822.1367,NaN,NaN
1977-06-30,4193500000000,2617879502485.0654,3747993195857.7095,NaN,NaN
1977-07-31,4344700000000,2685597953368.004,3867334556686.1675,NaN,NaN
1977-08-31,4465600000000,2755401955196.7095,3986987645348.934,NaN,NaN
1977-09-30,4570900000000,2826597956953.701,4103770116279.1475,NaN,NaN
1977-10-31,4770300000000,2902821566484.9287,4237076093023.318,NaN,NaN
1977-11-30,4781800000000,2976506995250.2256,4346020874418.6543,NaN,NaN
1977-12-31,4955900000000,3054130250338.452,4467996699534.924,NaN,NaN
1978-01-31,5072000000000,3133262397384.003,4588797359627.939,NaN,NaN
1978-02-28,5294500000000,3218016813172.8657,4729937887702.352,NaN,NaN
1978-03-31,5405200000000,3303788702852.3613,4864990310161.881,NaN,NaN
1978-04-30,5517100000000,3390585224309.1313,4995412248129.505,NaN,NaN
1978-05-31,5607400000000,3477519137081.3223,5117809798503.604,NaN,NaN
1978-06-30,5673600000000,3563639955234.996,5228967838802.883,NaN,NaN
1978-07-31,5843600000000,3653050153068.918,5351894271042.307,NaN,NaN
1978-08-31,6275600000000,3755895245105.431,5536635416833.846,NaN,NaN
1978-09-30,6274100000000,3854648372748.3555,5684128333467.076,NaN,NaN
1978-10-31,6560300000000,3960752358130.773,5859362666773.661,NaN,NaN
1978-11-30,6622900000000,4065150304870.7427,6012070133418.929,NaN,NaN
1978-12-31,6709200000000,4168838528209.145,6151496106735.143,NaN,NaN
1979-01-31,6544500000000,4262001723181.3354,6230096885388.114,NaN,NaN
1979-02-28,7347500000000,4383001655605.5967,6453577508310.491,NaN,NaN
1979-03-31,6965200000000,4484264335777.926,6555902006648.393,NaN,NaN
1979-04-30,7089700000000,4586438283394.478,6662661605318.714,NaN,NaN
1979-05-31,7183100000000,4688268154633.91,6766749284254.971,NaN,NaN
1979-06-30,7430300000000,4795798815236.502,6899459427403.977,NaN,NaN
1979-07-31,7478900000000,4901018469540.953,7015347541923.182,NaN,NaN
1979-08-31,7673200000000,5009731470735.426,7146918033538.545,NaN,NaN
1979-09-30,7781400000000,5118424354235.997,7273814426830.836,NaN,NaN
1979-10-31,8202400000000,5239364575638.507,7459531541464.669,NaN,NaN
1979-11-30,8382900000000,5362640474633.075,7644205233171.735,NaN,NaN
1979-12-31,8767000000000,5496144769745.504,7868764186537.389,NaN,NaN
1980-01-31,9385100000000,5648652817990.778,8172031349229.911,NaN,NaN
1980-02-29,9680900000000,5806780158461.729,8473805079383.929,NaN,NaN
1980-03-31,9927100000000,5968361328718.131,8764464063507.143,NaN,NaN
1980-04-30,10059500000000,6128798139356.636,9023471250805.715,NaN,NaN
1980-05-31,10413300000000,6296817820166.18,9301437000644.572,NaN,NaN
1980-06-30,10535200000000,6463028886042.016,9548189600515.658,NaN,NaN
1980-07-31,10872900000000,6635965008158.015,9813131680412.527,NaN,NaN
1980-08-31,11222200000000,6815817360779.269,10094945344330.021,NaN,NaN
1980-09-30,11373500000000,6994550013297.729,10350656275464.018,NaN,NaN
1980-10-31,11793600000000,7182748051991.936,10639245020371.215,NaN,NaN
1980-11-30,12193400000000,7379244206815.781,10950076016296.973,NaN,NaN
1980-12-31,12746100000000,7589709139881.829,11309280813037.578,NaN,NaN
1981-01-31,12739900000000,7791677408906.071,11595404650430.062,NaN,NaN
1981-02-28,13214400000000,8004333196792.107,11919203720344.05,NaN,NaN
1981-03-31,13804100000000,8231775032212.024,12296182976275.24,NaN,NaN
1981-04-30,14326200000000,8470772089772.337,12702186381020.191,NaN,NaN
1981-05-31,14493200000000,8706945733310.677,13060389104816.152,NaN,NaN
1981-06-30,14973300000000,8952685116318.102,13442971283852.922,NaN,NaN
1981-07-31,15182200000000,9196979817638.96,13790817027082.338,NaN,NaN
1981-08-31,15722100000000,9452866883613.904,14177073621665.871,NaN,NaN
1981-09-30,15863300000000,9704256417589.83,14514318897332.697,NaN,NaN
1981-10-31,16744000000000,9980324793370.621,14960255117866.158,NaN,NaN
1981-11-30,16612500000000,10240410095591.38,15290704094292.926,NaN,NaN
1981-12-31,17479200000000,10524284209489.758,15728403275434.34,NaN,NaN
1982-01-31,17687900000000,10805210318921.531,16120302620347.473,NaN,NaN
1982-02-28,18395300000000,11102860894650.098,16575302096277.979,NaN,NaN
1982-03-31,19022600000000,11413438898781.467,17064761677022.383,NaN,NaN
1982-04-30,19750500000000,11740382471378.271,17601909341617.906,NaN,NaN
1982-05-31,20364300000000,12078575315637.947,18154387473294.324,NaN,NaN
1982-06-30,21004800000000,12428623342475.676,18724469978635.46,NaN,NaN
1982-07-31,21472600000000,12783289093751.139,19274095982908.367,NaN,NaN
1982-08-31,21986300000000,13144191482231.486,19816536786326.695,NaN,NaN
1982-09-30,22333500000000,13504556522143.977,20319929429061.355,NaN,NaN
1982-10-31,23205300000000,13884977835001.076,20897003543249.086,NaN,NaN
1982-11-30,23491600000000,14261708115981.426,21415922834599.27,NaN,NaN
1982-12-31,23966500000000,14642288189864.508,21926038267679.414,NaN,NaN
1983-01-31,24179400000000,15016292574575.703,22376710614143.53,NaN,NaN
1983-02-28,24617300000000,15392802669690.38,22824828491314.824,NaN,NaN
1983-03-31,24841100000000,15763324133624.092,23228082793051.86,NaN,NaN
1983-04-30,25606200000000,16149319265638.834,23703706234441.49,NaN,NaN
1983-05-31,26243100000000,16545153804241.232,24211584987553.19,NaN,NaN
1983-06-30,26859600000000,16949641890349.42,24741187990042.555,NaN,NaN
1983-07-31,27443000000000,17361146129943.56,25281550392034.043,NaN,NaN
1983-08-31,27711100000000,17767026673867.344,25767460313627.234,NaN,NaN
1983-09-30,28030500000000,18169515823911.76,26220068250901.79,NaN,NaN
1983-10-31,28581800000000,18577840693562.28,26692414600721.43,NaN,NaN
1983-11-30,29079700000000,18989678313422.582,27169871680577.145,NaN,NaN
1983-12-31,29437600000000,19399400732504.05,27623417344461.715,NaN,NaN
1984-01-31,29805700000000,19807490899856.832,28059873875569.37,NaN,NaN
1984-02-29,30348200000000,20220852041038.918,28517539100455.496,NaN,NaN
1984-03-31,31065700000000,20646140196292.293,29027171280364.4,NaN,NaN
1984-04-30,31078800000000,21055264110163.184,29437497024291.52,NaN,NaN
1984-05-31,32075300000000,21487422380352.863,29965057619433.215,NaN,NaN
1984-06-30,32567600000000,21921939149750.79,30485566095546.57,NaN,NaN
1984-07-31,33219699999999.996,22364988594858.6,31032392876437.254,NaN,NaN
1984-08-31,33903800000000.004,22817491002903.363,31606674301149.805,NaN,NaN
1984-09-30,33982600000000,23255338414554.21,32081859440919.844,NaN,NaN
1984-10-31,34831600000000,23709309457120.71,32631807552735.875,NaN,NaN
1984-11-30,35277300000000,24162956145076.76,33160906042188.7,NaN,NaN
1984-12-31,35214800000000,24596361786446.3,33571684833750.96,NaN,NaN
1985-01-31,35957800000000,25041908383056.25,34048907867000.77,NaN,NaN
1985-02-28,36242800000000,25481159034701.1,34487686293600.617,NaN,NaN
1985-03-31,36182800000000,25900831229418.707,34826709034880.492,NaN,NaN
1985-04-30,36901900000000,26332245691010.13,35241747227904.39,NaN,NaN
1985-05-31,37474500000000,26769196840382.28,35688297782323.516,NaN,NaN
1985-06-30,37928800000000,27206828336837.88,36136398225858.81,NaN,NaN
1985-07-31,38386000000000,27645227225589.336,36586318580687.05,NaN,NaN
1985-08-31,38874500000000,28085590863801.52,37043954864549.64,NaN,NaN
1985-09-30,39323100000000,28526277496593.617,37499783891639.71,NaN,NaN
1985-10-31,40317500000000,28988678379080.14,38063327113311.766,NaN,NaN
1985-11-30,41166700000000,29466247854410.332,38684001690649.414,NaN,NaN
1985-12-31,41589800000000,29941681271884.438,39265161352519.53,NaN,NaN
1986-01-31,43084900000000,30457101614163.48,40029109082015.625,NaN,NaN
1986-02-28,44005000000000,30988391746941.383,40824287265612.5,NaN,NaN
1986-03-31,45074200000000,31540776384316.23,41674269812490,NaN,NaN
1986-04-30,45405900000000,32084506722186.184,42420595849992,NaN,NaN
1986-05-31,46858500000000,32663879007590.65,43308176679993.6,NaN,NaN
1986-06-30,47694800000000,33253326889645.918,44185501343994.88,NaN,NaN
1986-07-31,48395400000000,33847133678287.254,45027481075195.91,NaN,NaN
1986-08-31,49367300000000,34455767651687.754,45895444860156.73,12312108000000,NaN
1986-09-30,50419100000000,35081780684954.902,46800175888125.38,12691282049751.244,NaN
1986-10-31,51681200000000,35732738305152.75,47776380710500.305,13079241432340.783,NaN
1986-11-30,52705600000000,36398340724558.52,48762224568400.24,13473533557392.12,NaN
1986-12-31,53899500000000,37084660696144.46,49789679654720.195,13875781979706.625,NaN
1987-01-31,54406900000000,37763964198256.445,50713123723776.16,14279076686376.21,NaN
1987-02-28,56078300000000,38482173445383.64,51786158979020.92,14694989356163.512,NaN
1987-03-31,57917700000000,39244350957329.38,53012467183216.734,15125066078987.756,NaN
1987-04-30,59738500000000,40048043076649.8,54357673746573.39,15568980844370.963,NaN
1987-05-31,61498300000000,40889229622663.53,55785798997258.71,16025988995173.242,NaN
1987-06-30,63216500000000,41764808853147.31,57271939197806.97,16495546318604.354,NaN
1987-07-31,63762000000000,42627443800082.71,58569951358245.58,16965859290558.54,NaN
1987-08-31,65065100000000,43507351886353.98,59868981086596.46,17444458700602.732,NaN
1987-09-30,66652600000000.01,44415008675124.41,61225704869277.17,17934091947362.906,NaN
1987-10-31,66947600000000.01,45298639707472.47,62370083895421.74,18421788544901.582,NaN
1987-11-30,69867000000000,46262104816983.35,63869467116337.39,18933681196196.094,NaN
1987-12-31,70167399999999.99,47199567373180.086,65129053693069.914,19443469443000.113,NaN
1988-01-31,72163100000000,48178529436976.945,66535862954455.93,19968042881378.223,NaN
1988-02-29,73602400000000,49175543968860.2,67949170363564.74,20501718076588.39,NaN
